Quantidade_media_guias,Volume_medio_arrecadado,Tarifa_media,UF_AC,UF_AL,UF_AM,UF_AP,UF_BA,UF_CE,UF_ES,UF_GO,UF_MA,UF_MG,UF_MS,UF_MT,UF_PA,UF_PB,UF_PE,UF_PI,UF_PR,UF_RJ,UF_RN,UF_RO,UF_RR,UF_RS,UF_SC,UF_SE,UF_SP,UF_TO,Esfera_ESTADUAL,Esfera_MUNICIPAL
7.19668657083435,9.445228287467335,0.8919980393051105,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.005773206234908,10.9042343159506,0.8919980393051105,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.98933526597456,8.962519832949532,0.8919980393051105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.4965075614664802,8.366835309827675,0.8919980393051105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.4339872044851463,1.0986122886681098,0.8919980393051105,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.290459441148391,8.758333819432101,0.8919980393051105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7.80057265467065,10.04607159599192,0.8919980393051105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9.19786285046507,9.197072744975278,0.8919980393051105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.231108616854587,10.37023588906119,0.8919980393051105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5.556828061699537,7.189922170745808,0.8878912573524571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6.359573868672378,10.01480528866808,0.8878912573524571,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
