ID,Cod_Tipo_Cart_Rel,UF,Esfera,Quantidade_media_guias,Volume_medio_arrecadado,Volume_medio_tarifas,Margem_contribuicao_media,Tarifa_media
103747284,407,CE,MUNICIPAL,1823,9703.2,1346.0,0.0,0.96
104934556,407,PE,MUNICIPAL,2622,1405.75,2032.75,0.0,0.96
105134082,406,MG,MUNICIPAL,1564,31228.0,1259.0,45.2,0.96
105177094,420,RN,ESTADUAL,404,4695.0,395.0,0.0,0.96
106059069,406,PA,MUNICIPAL,6432,0.0,6179.0,0.0,0.96
204736205,407,SP,MUNICIPAL,2597,15286.0,2829.75,272.0,0.96
205800025,407,PR,MUNICIPAL,3617,20.0,3483.0,0.0,0.96
300143700,405,PA,MUNICIPAL,1739,4833.5,1740.5,0.0,0.96
803231607,400,BA,ESTADUAL,136071,69478165.0,130972.0,0.0,0.96
905992841,403,ES,ESTADUAL,70671,8696528.0,67863.0,82006.0,0.96
906071427,406,PE,MUNICIPAL,2185,1850.0,2599.0,0.0,0.96
258316,407,PR,MUNICIPAL,2943,48445.0,2036.25,0.0,0.95
103189452,407,ES,MUNICIPAL,188,1335.0,177.0,0.0,0.95
103381210,407,CE,MUNICIPAL,233,3764.4,151.8,0.0,0.95
103772759,406,BA,MUNICIPAL,1853,6842.67,1345.33,508.33,0.95
104347450,407,RO,MUNICIPAL,1231,10670.5,928.5,0.0,0.95
104610611,407,PI,MUNICIPAL,219,46228.25,204.75,0.0,0.95
104977704,405,PE,MUNICIPAL,711,0.0,636.25,0.0,0.95
105329601,407,GO,MUNICIPAL,454,34101.0,461.5,72.0,0.95
105549811,406,RJ,MUNICIPAL,3156,108212.8,3147.2,174.2,0.95
105900076,405,CE,MUNICIPAL,14904,20604.0,14087.0,0.0,0.95
204659268,407,PR,MUNICIPAL,2823,12493.5,2590.0,0.0,0.95
300493226,407,GO,MUNICIPAL,193,45935.0,148.0,0.0,0.95
303895976,407,MG,MUNICIPAL,184,28308.67,178.33,0.0,0.95
416533462,405,AL,MUNICIPAL,328,1168.4,283.0,0.0,0.95
500375560,406,PB,MUNICIPAL,308,6793.0,293.5,0.0,0.95
800702060,406,BA,MUNICIPAL,351,2145.25,295.25,34.0,0.95
906070844,406,CE,MUNICIPAL,872,411.67,817.0,47.67,0.95
103358450,406,CE,MUNICIPAL,3223,89108.5,3739.25,850.0,0.94
103434232,405,MA,MUNICIPAL,1638,66399.33,1807.67,0.0,0.94
103593715,407,CE,MUNICIPAL,2588,4949.25,2437.25,228.0,0.94
103871901,406,BA,MUNICIPAL,829,2083.67,759.33,0.0,0.94
104447936,406,MT,MUNICIPAL,5496,6531.75,3811.5,203.5,0.94
104613967,405,TO,MUNICIPAL,8080,61018.0,9310.5,0.0,0.94
104714341,407,TO,MUNICIPAL,548,12899.6,450.6,0.0,0.94
104986305,405,PI,MUNICIPAL,2114,11306.0,1893.4,0.0,0.94
105245442,406,MG,MUNICIPAL,10186,64522.33,8501.33,0.0,0.94
105508506,407,MG,MUNICIPAL,364,501.67,173.0,0.0,0.94
105728113,407,MG,MUNICIPAL,1147,17054.0,1199.2,0.0,0.94
106446076,407,BA,MUNICIPAL,400,39515.67,382.67,0.0,0.94
200755838,406,SP,MUNICIPAL,23505,90007.5,21729.0,0.0,0.94
202972388,406,MG,MUNICIPAL,11886,33591.33,10112.33,0.67,0.94
203757343,407,SC,MUNICIPAL,876,10994.8,795.4,0.0,0.94
